ID;eln_id;chemist;stmat_1_chemform;stmat_2_chemform;product_1_chemform;product_2_chemform;product_3_chemform;product_4_chemform
286;ELN045639-078;stenzhoy;C14H10N2O3;;C27H25N3O5;C40H40N4O7;;
287;ELN048623-001;stenzhoy;C9H11BrN2O;;C15H22BBrN2O3;;;
288;ELN048623-002;stenzhoy;C9H11BrN2O;;C15H22BBrN2O3;;;
289;ELN048623-003;stenzhoy;C9H11BrN2O;;C15H22BBrN2O3;;;
290;ELN048623-004;stenzhoy;C9H11BrN2O;;C15H22BBrN2O3;;;
291;ELN048623-005;stenzhoy;C9H11BrN2O;;C15H22BBrN2O3;;;
292;ELN048623-006;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;;;
293;ELN048623-007;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;;;
294;ELN048623-008;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;;;
295;ELN048623-009;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;;;
296;ELN048623-010;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;;;
297;ELN047124-054;perrond4;C11H8BrNO2;;C23H11BrF4NO2S2;;;
298;ELN047124-055;perrond4;C12H14O6;;C24H17F4O6S2;;;
299;ELN047124-056;perrond4;C20H24O10;;C32H31O10S2;;;
300;ELN047124-057;perrond4;C26H29NO2;;C38H32F4NO2S2;;;
301;ELN045639-079;stenzhoy;C18H16N2O3;;C29H30N6O2;;;
302;ELN045639-080;stenzhoy;C18H16N2O3;;C29H30N6O3S;;;
303;ELN045639-081;stenzhoy;C18H16N2O3;;C28H25ClN6O3;;;
304;ELN045639-082;stenzhoy;C18H16N2O3;;C29H30N6O2;;;
305;ELN047124-058;perrond4;C32H22F4NO3S2;;C21H18N2O3;;;
306;ELN047124-059;perrond4;C32H22F4NO3S2;;C21H18N2O3;;;
307;ELN047124-060;perrond4;C32H22F4NO3S2;;C21H18N2O3;;;
308;ELN047124-061;perrond4;C32H22F4NO3S2;;C21H18N2O3;;;
309;ELN047124-062;perrond4;C32H22F4NO3S2;;C21H18N2O3;;;
310;ELN045639-083;stenzhoy;C26H23N3O5;;C36H32ClN7O5;;;
311;ELN047124-063;perrond4;C32H26NO3S2;;C20H18ClNO3;;;
312;ELN047124-064;perrond4;C32H26NO3S2;;C20H18ClNO3;;;
313;ELN047124-065;perrond4;C32H26NO3S2;;C20H18ClNO3;;;
314;ELN047124-066;perrond4;C32H26NO3S2;;C20H18ClNO3;;;
315;ELN045639-084;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;C22H24BClN2O4;;
316;ELN045639-085;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;C22H24BClN2O4;;
317;ELN045639-086;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;C22H24BClN2O4;;
318;ELN045639-087;stenzhoy;C26H23N3O5;;C37H37N7O4;;;
319;ELN045639-088;stenzhoy;C26H23N3O5;;C36H32ClN7O5;;;
320;ELN045639-089;stenzhoy;C20H18N2O3;;C30H27ClN6O3;;;
321;ELN045639-090;stenzhoy;C20H18N2O3;;C30H27ClN6O3;;;
322;ELN045639-091;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;C22H24BClN2O4;;
323;ELN045639-092;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;C22H24BClN2O4;;
324;ELN045639-093;stenzhoy;C22H23ClN2O2;;C28H34BClN2O4;C22H24BClN2O4;;
325;ELN045639-094;stenzhoy;C36H32ClN7O5;;C28H26ClN7O3;;;
326;ELN045639-095;stenzhoy;C36H32ClN7O5;;C28H26ClN7O3;;;
327;ELN045639-096;stenzhoy;C36H32ClN7O5;;C28H26ClN7O3;;;
328;ELN045639-097;stenzhoy;C36H32ClN7O5;;C28H26ClN7O3;;;
329;ELN045639-099;stenzhoy;C11H11NO;;C12H11F2NO;C13H11F4NO;;
330;ELN040616-201;wolfardj;C29H32O7S;;C29H31FO7S;;;
331;ELN040616-202;wolfardj;C29H32O7S;;C29H31FO7S;;;
332;ELN040616-203;wolfardj;C29H32O7S;;C29H31FO7S;;;
333;ELN040616-204;wolfardj;C29H32O7S;;C29H31FO7S;;;
334;ELN045639-100;stenzhoy;C7H5NS;;C11H11NS;;;
335;ELN045639-101;stenzhoy;C10H9N;;C14H15N;;;
336;ELN045639-102;stenzhoy;C7H5NS;;C11H11NS;;;
